,text,polarity
258,"After hearing a lot of great things about the restaurant, and passing by it on a daily basis, we decided to try.",neutral
259,For Park avenue I expected so much more.,negative
260,"For some reason, all the seafood on the menu was unavailable except for the Salmon.",negative
261,For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.,negative
262,"For the people who want great food plus great service, Roxy is a place to AVOID!",negative
263,"For the quality of food, a little too expensive.",negative
264,For those prices and the dressed up atmosphere you expect more and should get more.,negative
265,The food itself was just ok - nothing spectacular - but the service was awful.,neutral
266,From the moment we walked in they were more than accomodating even though the place was packed.,negative
267,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",negative
268,"Oh right, I should probably say something nice.",neutral
269,My wife and I went to Orsay for Valentine's dinner.,neutral
270,"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",negative
271,Food and service was okay.,neutral
272,Get it together.,negative
273,Go only if you are already in the neighborhood and don't want to bother going farther for a better place.,negative
274,At first i was rolling my ideas of yet another French place on the UES.,neutral
275,Since my first dinner I have had the chance to have brunch at Orsay 3x.,neutral
276,We visited Orsay during NY Restaurant Week and tried their $35 menu.,neutral
277,I work around the corner and tried it with a colleague for the first time.,neutral
278,i went to utsav about a yr ago with my family.,neutral
279,"Good food at the restaurant (a bit expensive, but great if you want to impress your date).",negative
280,I care more about the food and ambience.,neutral
281,Good luck getting a table.,negative
282,Got a little loud after 8pm when the joint got full.,negative
283,"Got club soda, filled with ice, no lime.",negative
284,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",negative
285,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",negative
286,Haru on Park S is simply disgusting.,negative
287,He offers subpar service and has no personality.,negative
288,He was terribly thirsty after the meal too.,negative
289,I went here in the afternoon with a friend.,neutral
290,Here's to the fake fish tanks too...,negative
291,honestly the worst sushi my husband and i had in our entire lives.,negative
292,Horrible food and Horrible service.,negative
293,Horrible.,negative
294,"However, for what we spent, overall, it just was not up to par.",negative
295,"However, go for the ambience, and consider the food just a companion for a trip across the world!",negative
296,"However, I do not understand the extraordinary hype about this restaurant.",negative
297,"However, I was there for a work dinner not long ago when my colleague from London noticed a very large waterbug on the ceiling.",negative
298,After passing by this restaurant for sometime I finally decided to go in and have dinner.,neutral
299,"No food snobs allowed, this place is for people who appreciate good food.",neutral
300,There are other Vietnamese restaurants in the chinatown area and you can forget about those.,neutral
301,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",negative
302,"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",negative
303,also make sure you pay attention to the music being piped in - quite a weird selection.,neutral
304,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",neutral
305,Its not the same if you have to sit inside.,neutral
306,"However, it's not worth a special trip.",negative
307,"however, it's the service that leaves a bad taste in my mouth.",negative
308,"I actually gave Patroon another chance before writing this, but the second visit was even worse.",negative
309,I also ordered for delivery and the restaurant forgot half the order.,negative
310,"I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place!",negative
311,sometimes i get good food and ok service.,neutral
312,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,negative
313,really depends on your luck!,neutral
314,I usually go there later at night when I get off work so I don't have to deal with crowds or lines.,neutral
315,"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",neutral
316,"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",neutral
317,I am surprised to say the least and find such practice not worth the effort.,negative
318,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,negative
319,I ate here a week ago and found most dishes average at best and too expensive.,negative
320,I came to this restaurant expecting to be surprised but left bored and overcharged.,negative
321,I could have drank 4 glasses of water and still been parched - so watch out.,negative
322,I definitely wouldn't go back.,negative
323,I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,negative
324,Other apetizers and food,neutral
325,"Compared to Ess-a, Tal offers a less doughy bagel!",neutral
326,I DO NOT RECOMMEND THE HEARTLAND BREWERY.,negative
327,I don't get it either.,negative
328,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,neutral
329,"I don't get it, what's so special about Prune ?",negative
330,i dont how this place is still running.,negative
331,I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,negative
332,I don't think I would go again.,negative
333,I for one will never patronize them again.,negative
334,On a monthly basis my friends and I get together and have a girls night out.,neutral
335,"We try frequenting new restaurants all over the city, but any time that we  visit a restaurant other than Roth's we are always disappointed.",neutral
336,I had been searching really hard for a restaurant in New York where I could really feel unwanted and ignored and I finally found it!,negative
337,Once for dinner and once for brunch.,neutral
338,I had the Pad Thai and the noodles were sticky.,negative
339,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",negative
340,I had to ask her three times before she finally came back with the dish Ive requested.,negative
341,I had to share my table with a loud group of kids and the service was rude an unattentive.,negative
342,I have been coming to this neighborhood spot for years.,neutral
343,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,neutral
344,but I wouldn't wanna live there.,neutral
345,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,neutral
346,I HATE HATE HATE this place.,negative
347,I try my best to give an accurate description of any establishment visited.,neutral
348,"This time, I prefer not to go into detail.",neutral
349,I hate this.,negative
350,"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.",negative
351,I thought going to Jimmys would give me a real Domincan exprience.,neutral
352,Jimmy is Dominican!,neutral
353,I have been to Roth's twice and both times were very disappointing.,negative
354,I have eaten at many pizza places around NYC and this is hands down the worst.,negative
355,"I have tried to make reservations, but both times, the hostess didn't have my name.",negative
356,I just do not understand what the fuss is all about.,negative
357,Too bad Latin Quarters closed.,neutral
358,I just don't understand all the hype...,negative
359,"I know this is the case in many nyc eateries, but here, they really cram you in to the point where it's borderline uncomfortable.",negative
360,I keep my fingers crossed the whole subway ride hoping that there will be a table I can sit at by myself and not have to share with the rice congee soup people.,neutral
361,I drop more dollar bills here than your uncle after a weekend at Scores.,neutral
362,I go back in line like three times on average until I can't walk anymore.,neutral
363,"The place wasn't too hard to find, but it was kind of packed, as soon as my boyfriend and I got our food, the line reached the door.",neutral
364,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",negative
365,"The food is great, service is ok.",neutral
366,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",negative
367,I liked this place the first time but doubt I will ever return.,negative
368,"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",negative
369,I must say it's a little pricey for the food because it was not as spectacular as the view.,negative
370,That's why you have to pay more for that.,neutral
371,"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",negative
372,The sushi is average and the prices are anything but.,neutral
373,"I need at least three rolls to be full, and that's at least $14.00!",negative
374,I ordered a Chicken Teriyaki dish and found that the chicken was extremely dry.,negative
375,I ordered a Lassi and asked 4 times for it but never got it.,negative
376,I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,negative
377,I ordered the smoked salmon and roe appetizer and it was off flavor.,negative
378,"I seriously doubt I will ever dine at Jimmy's Bronx, or for that matter, Jimmy's Uptown, again.",negative
379,I think the restaurant was too loud (when full) to be romantic.,negative
380,I think this would be a pretty good spot if it were not so overpriced and overrated.,negative
381,The one on the east side is much better than the one on the west side.,neutral
382,I thought this place was totally overrated.,negative
383,"I was a little leary about Mary's at first - it's small, crowded and you usually have to wait on line - but I'm glad I finally tried it.",negative
384,"It's really a takeaway place, I wouldn't sit if I could take it home.",neutral
385,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,neutral
386,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,negative
387,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,negative
388,"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.",negative
389,"Bagels are ok, but be sure not to make any special requests!",neutral
390,The problem is just that-it is a sometimes kind of affair.,neutral
391,"But, hey, there is anything better with a decent vegetarian selection in Astoria.",neutral
392,"Place should also have a 1,2,3 chili rating to be more authentic...",neutral
393,Were meeting up with some friends for a drink at Lafayette 161 and happened to walk by Thai Angel famished.,neutral
394,"It was raining, and we figured why not?",neutral
395,I ordered the chu chu curry and my friend ordered the pad thai chicken.,neutral
396,I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,negative
397,I was so sad to read the bad reviews this place got!,negative
398,I was very disappointed with this restaurant.,negative
399,I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.,negative
400,I was wrong.,negative
401,A great way to make some money is to buy a case of snapple from Costco and sell it right outside for only $2.50.,neutral
402,"I went here with a friend on a whim, we went someplace else first and couldn't get a table.",negative
403,I went there for lunch and it was not as good as I expected from the reviews I read.,negative
404,I will never visit this restaurant again.,negative
405,I will not be coming here at 3am again.,negative
406,I wish they would change back to what it was before.,negative
407,I won't go back unless someone else is footing the bill.,negative
408,"I am Indian, and I have tried many Indian places in NY.",neutral
409,I went to Amma after a friend recommended it.,neutral
410,i would go again if i didn't have to pay.,negative
411,"I would never wait for a table to eat, it just is not THAT great.",negative
412,"I would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!",negative
413,I would not recommend this place to anyone.,negative
414,"I would recommend Roxy's for that, but not for their food.",negative
415,"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",negative
416,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",neutral
417,"If I could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in NYC.",negative
418,If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.,negative
419,my first time here was with my gf for our 12 month anniversary.,neutral
420,so i thought why not change it up a bit.,neutral
421,"If just to drop in, quickly stuff yourself and jet out -- to keep their turn-over.",negative
422,I'll keep this short.,neutral
423,"If that's a problem, go to McDonald's and destroy your insides.",negative
424,The two star chefs left quite some time ago to open their own place.,neutral
425,"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.",negative
426,"If you are a vegetarian, this really isn't a good place to go.",negative
427,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",negative
428,"The food is o.k., but not any better than what you get at a good neighborhood restaurant.",neutral
429,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",negative
430,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,negative
431,"If you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.",negative
432,"If you live outside the neighborhood, don't bother!",negative
433,"If you want Americanized Chinese food with your usual watery, generic white sauce, this is your place.",negative
434,"By the time we were done, it was past 1:00am.",neutral
435,If you want good authentic Thai this place is not the place to go.,negative
436,"If you want to save some money, don't go here.",negative
437,Went for a late weekday lunch.,neutral
438,Decor is minimalist and clean - nothing to distract or commend.,neutral
439,"If your favorite Chinese food is General Tao chicken, then this is NOT your place.",negative
440,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",negative
441,Guess the 555Soul ads didn't launch her big modeling career.,neutral
442,"If you're in town, it's worth searching for another place.",negative
443,"If you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards.",negative
444,This food is asian-air fusion.,neutral
